Communes;Références cadastrales;Nbre de Pieds;"Superficie plantée
en m2";superficie plantée (en ha);nbre_de_pied_a_ha
LARRESSORE;AX 170;6000.0;4000.0;0.4;15000.0
USTARITZ;BD 419 - 305;2320.0;1500.0;0.15;15466.666666666668
USTARITZ;ZK 17 - 16;27260.0;20000.0;2.0;13630.0
SOURAIDE;ZI 15;7040.0;4900.0;0.49;14367.34693877551
LARRESSORE;A 77 - 516 - 539;7500.0;3900.0;0.39;19230.76923076923
ST PEE/NIVELLE;C 1976;11000.0;4000.0;0.4;27500.0
ST PEE/NIVELLE;BB 235 (= C1 194);9000.0;4000.0;0.4;22500.0
ESPELETTE;C 337;2100.0;1200.0;0.12;17500.0
ITXASSOU;A 2453;5600.0;6000.0;0.6;9333.333333333334
SOURAIDE;ZD 1;19750.0;10000.0;1.0;19750.0
CAMBO-LES-BAINS;A 1705 - 2039;9500.0;5000.0;0.5;19000.0
ESPELETTE;AH 53;14960.0;4500.0;0.45;33244.444444444445
HALSOU;AM 2 - 3;23140.0;13000.0;1.3;17800.0
HALSOU;AA 39;7300.0;4829.0;0.4829;15117.001449575482
SOURAIDE;ZB 83;4794.0;2359.0;0.2359;20322.170411191182
HALSOU;AE 60 - 61 - 62 - 63 64 - 65 (= AE 10 - 16 - 17);20200.0;13900.0;1.39;14532.374100719426
HALSOU;AH 13;14100.0;12000.0;1.2;11750.0
JATXOU;AH 118-121-126-127-128;31500.0;19900.0;1.99;15829.145728643216
LARRESSORE;AD 41;3300.0;1900.0;0.19;17368.42105263158
CAMBO-LES-BAINS;BH 72;22000.0;10000.0;1.0;22000.0
CAMBO-LES-BAINS;BB 12;8500.0;5000.0;0.5;17000.0
CAMBO-LES-BAINS;A7 897 - 898;9240.0;6698.0;0.6698;13795.16273514482
SOURAIDE;ZH 340 - 402 (= ZH 230 et A 930);8700.0;4000.0;0.4;21750.0
LARRESSORE;AE 38;4300.0;3500.0;0.35;12285.714285714286
ST PEE/NIVELLE;B3 1859-1860-1861 (=B3 1573);13800.0;7500.0;0.75;18400.0
LARRESSORE;ZC 10 ET 11;14400.0;8400.0;0.84;17142.857142857145
USTARITZ;ZH 75;10360.0;8600.0;0.86;12046.511627906977
LARRESSORE;ZC 20;24500.0;13000.0;1.3;18846.153846153844
USTARITZ;ZH 35;3100.0;2500.0;0.25;12400.0
ESPELETTE;B1 121;21080.0;14053.0;1.4053;15000.355795915462
AINHOA;A 430 - 470 - 296;21900.0;13616.0;1.3616;16084.018801410106
CAMBO-LES-BAINS;B5 711 - B 2278 (= B5 1887);24525.0;12753.0;1.2753;19230.76923076923
USTARITZ;ZH 29;18040.0;10000.0;1.0;18040.0
ESPELETTE;A2 101;1205.0;1900.0;0.19;6342.105263157895
ESPELETTE;A2 128;3553.0;3000.0;0.3;11843.333333333334
USTARITZ;AY 298;7500.0;3600.0;0.36;20833.333333333336
USTARITZ;BC 20-21-22-263;16500.0;7500.0;0.75;22000.0
USTARITZ;ZI 41;15000.0;8300.0;0.83;18072.289156626506
ESPELETTE;AA 31;18356.0;10500.0;1.05;17481.90476190476
ESPELETTE;C5 1491 (=2060) - C5 780 - C5 781;6500.0;3500.0;0.35;18571.428571428572
ITXASSOU;A1 1116;3500.0;3000.0;0.3;11666.666666666668
ESPELETTE;B3 99 - 20 (= B3 509 - 510 - 511);7210.0;3480.0;0.348;20718.390804597704
ITXASSOU;A 1045;7500.0;4500.0;0.45;16666.666666666668
ESPELETTE;A 256;11600.0;7000.0;0.7;16571.428571428572
SOURAIDE;ZE 167 - 208 - 209;35400.0;20000.0;2.0;17700.0
SOURAIDE;ZI 72;9700.0;7400.0;0.74;13108.108108108108
AINHOA;A 446;2500.0;2374.0;0.2374;10530.749789385005
USTARITZ;ZI 69;23292.0;20000.0;2.0;11646.0
USTARITZ;ZC 3;10240.0;8500.0;0.85;12047.058823529413
USTARITZ;AM 94;13000.0;10000.0;1.0;13000.0
CAMBO-LES-BAINS;BB 1;5050.0;2200.0;0.22;22954.545454545456
CAMBO-LES-BAINS;BB 53;3900.0;2000.0;0.2;19500.0
CAMBO-LES-BAINS;B6 1776b;7700.0;4500.0;0.45;17111.11111111111
CAMBO-LES-BAINS;B 2279 (= B5 1887) - 2274 (= B 761);4920.0;2558.0;0.2558;19233.77638780297
LARRESSORE;AX 16;3550.0;2700.0;0.27;13148.148148148148
LARRESSORE;AX 17;1650.0;1100.0;0.11;15000.0
LARRESSORE;AD 21;500.0;200.0;0.02;25000.0
LARRESSORE;A 150 - 151;12840.0;7500.0;0.75;17120.0
ESPELETTE;A3 1038;5124.0;3000.0;0.3;17080.0
CAMBO-LES-BAINS;A 2153 (= A 1580);4600.0;2300.0;0.23;20000.0
ESPELETTE;A2 0065;5894.0;3000.0;0.3;19646.666666666668
USTARITZ;BO 13 - 14;6120.0;4806.0;0.4806;12734.082397003745
ITXASSOU;E 369;8000.0;5000.0;0.5;16000.0
ST PEE/NIVELLE;C5 1591;10700.0;7000.0;0.7;15285.714285714286
SOURAIDE;ZL 22;25000.0;12064.0;1.2064;20722.811671087533
LARRESSORE;B3 572;16200.0;9200.0;0.92;17608.695652173912
ST PEE/NIVELLE;C 196;12500.0;7310.0;0.731;17099.86320109439
ST PEE/NIVELLE;C 354 - 355;34000.0;18000.0;1.8;18888.888888888887
ESPELETTE;C 432;22000.0;20259.0;2.0259;10859.371143689224
ESPELETTE;C 1640;14000.0;11600.0;1.16;12068.96551724138
ESPELETTE;C 357 - 358;15000.0;12080.0;1.208;12417.218543046358
CAMBO-LES-BAINS;AL 60 - 59 - 212 - 213 (AL 212 - 213 = AL 61);41000.0;27000.0;2.7;15185.185185185184
ESPELETTE;C3 1882;2100.0;1000.0;0.1;21000.0
AINHOA;D2 55;8500.0;3200.0;0.32;26562.5
CAMBO-LES-BAINS;AE 19;25200.0;15000.0;1.5;16800.0
CAMBO-LES-BAINS;AE 35 (= C1 83 - 84 - 85);20100.0;16000.0;1.6;12562.5
SOURAIDE;ZM 252;13600.0;8000.0;0.8;17000.0
LARRESSORE;A 632 - 631;5900.0;2000.0;0.2;29500.0
LARRESSORE;A 631 - 632;10800.0;4500.0;0.45;24000.0
LARRESSORE;A 388;26000.0;13000.0;1.3;20000.0
AINHOA;B 2;8000.0;7000.0;0.7;11428.57142857143
USTARITZ;ZK 20 - 21;4800.0;2700.0;0.27;17777.777777777777
CAMBO-LES-BAINS;A1 39 - 35;22000.0;15000.0;1.5;14666.666666666666
AINHOA;A 214;15000.0;8000.0;0.8;18750.0
HALSOU;AP 45;8534.0;6800.0;0.68;12550.0
USTARITZ;AX 70 - 71 - 72;5000.0;4100.0;0.41;12195.121951219513
HALSOU;AS 13;6180.0;3939.0;0.3939;15689.26123381569
LARRESSORE;ZC 27 - 28;19000.0;10000.0;1.0;19000.0
CAMBO-LES-BAINS;B 28 - 29 66 - 67;20000.0;10000.0;1.0;20000.0
SOURAIDE;ZH 230;16500.0;9000.0;0.9;18333.333333333332
ST PEE/NIVELLE;B 1264;3100.0;2000.0;0.2;15500.0
SOURAIDE;ZH 49;5800.0;3000.0;0.3;19333.333333333336
ESPELETTE;AA 13;18500.0;10000.0;1.0;18500.0
ESPELETTE;AA 21;18500.0;11000.0;1.1;16818.181818181816
ESPELETTE;ZA 1;7300.0;18600.0;1.86;3924.7311827956987
ESPELETTE;ZA 1;20200.0;;0.0;
ITXASSOU;E 216;8500.0;4500.0;0.45;18888.888888888887
ESPELETTE;A3 236 - 237;12900.0;10000.0;1.0;12900.0
CAMBO-LES-BAINS;BP 42;9400.0;4883.0;0.4883;19250.46078230596
CAMBO-LES-BAINS;BP 42-174-176-81-82-83;4450.0;2314.0;0.2314;19230.76923076923
CAMBO-LES-BAINS;A6 774;10400.0;10000.0;1.0;10400.0
USTARITZ;ZI 90;4500.0;3300.0;0.33;13636.363636363636
AINHOA;B 474;10100.0;5000.0;0.5;20200.0
ITXASSOU;A3 2848 - 2844 - 2847 - 2850;16400.0;9000.0;0.9;18222.222222222223
ITXASSOU;A3 2944;17500.0;12000.0;1.2;14583.333333333334
ITXASSOU;A 189 - AC 223;12552.0;7000.0;0.7;17931.428571428572
LARRESSORE;A 25 - 26;7220.0;4500.0;0.45;16044.444444444443
CAMBO-LES-BAINS;D2 1231;6740.0;3500.0;0.35;19257.14285714286
CAMBO-LES-BAINS;BB 27;4592.0;2400.0;0.24;19133.333333333336
ESPELETTE;A 1089;7174.0;3500.0;0.35;20497.14285714286
ESPELETTE;C3 406;6500.0;4000.0;0.4;16250.0
ESPELETTE;A3 284 - 283;26500.0;16000.0;1.6;16562.5
LARRESSORE;AD 51 - 23;5040.0;2000.0;0.2;25200.0
USTARITZ;ZH 24 - 29;14000.0;8000.0;0.8;17500.0
CAMBO-LES-BAINS;B 1791;2700.0;3000.0;0.3;9000.0
CAMBO-LES-BAINS;BM 123 (= A6 613);220.0;75.0;0.0075;29333.333333333336
USTARITZ;AX 181;9500.0;6000.0;0.6;15833.333333333334
ESPELETTE;AB 6;20650.0;10000.0;1.0;20650.0
AINHOA;A 418 - 104;10000.0;6300.0;0.63;15873.015873015873
ST PEE/NIVELLE;B 757 - 760 - 762;37000.0;20000.0;2.0;18500.0
